title,artist
"<cite class=""title"">Unholy</cite>","<em class=""artist"">Sam Smith &amp; Kim Petras</em>"
"<cite class=""title"">Eagle (feat. KB)</cite>","<em class=""artist"">Transformation Worship</em>"
"<cite class=""title"">I'm Good (Blue)</cite>","<em class=""artist"">David Guetta &amp; Bebe Rexha</em>"
"<cite class=""title"">Everywhere</cite>","<em class=""artist"">Fleetwood Mac</em>"
"<cite class=""title"">Make It With You</cite>","<em class=""artist"">Bread</em>"
"<cite class=""title"">wait in the truck</cite>","<em class=""artist"">HARDY &amp; Lainey Wilson</em>"
"<cite class=""title"">A Thousand Years</cite>","<em class=""artist"">Christina Perri</em>"
"<cite class=""title"">Thank God</cite>","<em class=""artist"">Kane Brown &amp; Katelyn Brown</em>"
"<cite class=""title"">Son Of A Sinner</cite>","<em class=""artist"">Jelly Roll</em>"
"<cite class=""title"">You Proof</cite>","<em class=""artist"">Morgan Wallen</em>"
"<cite class=""title"">I Ain't Worried</cite>","<em class=""artist"">OneRepublic</em>"
"<cite class=""title"">CUFF IT</cite>","<em class=""artist"">Beyoncé</em>"
"<cite class=""title"">Unstoppable</cite>","<em class=""artist"">Sia</em>"
"<cite class=""title"">Left and Right</cite>","<em class=""artist"">Charlie Puth &amp; Jung Kook</em>"
"<cite class=""title"">She Had Me At Heads Carolina</cite>","<em class=""artist"">Cole Swindell</em>"
"<cite class=""title"">TRUCK BED</cite>","<em class=""artist"">HARDY</em>"
"<cite class=""title"">Wasted On You</cite>","<em class=""artist"">Morgan Wallen</em>"
"<cite class=""title"">Lose Yourself</cite>","<em class=""artist"">Eminem</em>"
"<cite class=""title"">here lies country music</cite>","<em class=""artist"">HARDY</em>"
"<cite class=""title"">Fall In Love</cite>","<em class=""artist"">Bailey Zimmerman</em>"
"<cite class=""title"">As It Was</cite>","<em class=""artist"">Harry Styles</em>"
"<cite class=""title"">The Kind of Love We Make</cite>","<em class=""artist"">Luke Combs</em>"
"<cite class=""title"">Under the Influence</cite>","<em class=""artist"">Chris Brown</em>"
"<cite class=""title"">the mockingbird &amp; THE CROW</cite>","<em class=""artist"">HARDY</em>"
"<cite class=""title"">Shallow</cite>","<em class=""artist"">Lady Gaga &amp; Bradley Cooper</em>"
"<cite class=""title"">Life Is a Highway</cite>","<em class=""artist"">Rascal Flatts</em>"
"<cite class=""title"">Super Freaky Girl</cite>","<em class=""artist"">Nicki Minaj</em>"
"<cite class=""title"">Celestial</cite>","<em class=""artist"">Ed Sheeran</em>"
"<cite class=""title"">Love Me Like You Do</cite>","<em class=""artist"">Ellie Goulding</em>"
"<cite class=""title"">Hold Me Closer</cite>","<em class=""artist"">Elton John &amp; Britney Spears</em>"
"<cite class=""title"">About Damn Time</cite>","<em class=""artist"">Lizzo</em>"
"<cite class=""title"">Shivers</cite>","<em class=""artist"">Ed Sheeran</em>"
"<cite class=""title"">Victoria’s Secret</cite>","<em class=""artist"">Jax</em>"
"<cite class=""title"">Earned It</cite>","<em class=""artist"">The Weeknd</em>"
"<cite class=""title"">Everything I Own</cite>","<em class=""artist"">Bread</em>"
"<cite class=""title"">Sunroof</cite>","<em class=""artist"">Nicky Youre &amp; Dazy</em>"
"<cite class=""title"">Baby I'm-A Want You</cite>","<em class=""artist"">Bread</em>"
"<cite class=""title"">High Heels</cite>","<em class=""artist"">Flo Rida &amp; Walker Hayes</em>"
"<cite class=""title"">Numb</cite>","<em class=""artist"">Marshmello &amp; Khalid</em>"
"<cite class=""title"">Gangsta's Paradise (feat. L.V.)</cite>","<em class=""artist"">Coolio</em>"
"<cite class=""title"">I Like You (A Happier Song) [feat. Doja Cat]</cite>","<em class=""artist"">Post Malone</em>"
"<cite class=""title"">You'll Be In My Heart</cite>","<em class=""artist"">Phil Collins</em>"
"<cite class=""title"">2 Be Loved (Am I Ready)</cite>","<em class=""artist"">Lizzo</em>"
"<cite class=""title"">Monster Mash</cite>","<em class=""artist"">Bobby ""Boris"" Pickett &amp; The Crypt-Kickers</em>"
"<cite class=""title"">Running Up That Hill (A Deal with God)</cite>","<em class=""artist"">Kate Bush</em>"
"<cite class=""title"">Vegas (From the Original Motion Picture Soundtrack ELVIS)</cite>","<em class=""artist"">Doja Cat</em>"
"<cite class=""title"">Rock and a Hard Place</cite>","<em class=""artist"">Bailey Zimmerman</em>"
"<cite class=""title"">It Will Rain</cite>","<em class=""artist"">Bruno Mars</em>"
"<cite class=""title"">Way of the Triune God (Hallelujah Version)</cite>","<em class=""artist"">Tyler Childers</em>"
"<cite class=""title"">Forever</cite>","<em class=""artist"">Drake, Kanye West, Lil Wayne &amp; Eminem</em>"
"<cite class=""title"">Next Thing You Know</cite>","<em class=""artist"">Jordan Davis</em>"
"<cite class=""title"">This Is Halloween</cite>","<em class=""artist"">The Citizens of Halloween</em>"
"<cite class=""title"">Cold Heart (PNAU Remix)</cite>","<em class=""artist"">Elton John &amp; Dua Lipa</em>"
"<cite class=""title"">Soul</cite>","<em class=""artist"">Lee Brice</em>"
"<cite class=""title"">If</cite>","<em class=""artist"">Bread</em>"
"<cite class=""title"">Bad Habit</cite>","<em class=""artist"">Steve Lacy</em>"
"<cite class=""title"">What My World Spins Around</cite>","<em class=""artist"">Jordan Davis</em>"
"<cite class=""title"">Always Remember Us This Way</cite>","<em class=""artist"">Lady Gaga</em>"
